postcode,state,long,lat
2125,NSW,151.031807,-33.752645
2126,NSW,151.043941,-33.724898
2127,NSW,151.076186,-33.85283
2128,NSW,151.047591,-33.835928
2129,NSW,151.069553,-33.864104
2130,NSW,151.135883,-33.892783
2131,NSW,151.124008,-33.887602
2132,NSW,151.113385,-33.882419
2133,NSW,151.102087,-33.898793
2134,NSW,151.101757,-33.880049
2135,NSW,151.084759,-33.881009
2136,NSW,151.087741,-33.892944
2137,NSW,151.103751,-33.85749
2138,NSW,151.086036,-33.846098
2139,NSW,151.095163,-33.835993
2140,NSW,151.070853,-33.835018
2141,NSW,151.044768,-33.872483
2142,NSW,151.015196,-33.832747
2143,NSW,151.021934,-33.885382
2144,NSW,151.026756,-33.851868
2145,NSW,150.9751544,-33.79382308
2146,NSW,150.959508,-33.789374
2147,NSW,150.935836,-33.766075
2148,NSW,150.900547,-33.783751
2150,NSW,151.006506,-33.814463
2151,NSW,151.012511,-33.78709
2152,NSW,150.996388,-33.782501
2153,NSW,150.955942,-33.731651
2154,NSW,151.000948,-33.73238
2155,NSW,150.931074,-33.731523
2156,NSW,150.974528,-33.656984
2157,NSW,150.991055,-33.602167
2158,NSW,151.040358,-33.690331
2159,NSW,151.084146,-33.539148
2160,NSW,150.976594,-33.835883
2161,NSW,150.983724,-33.858335
2162,NSW,151.004128,-33.88349
2163,NSW,150.979458,-33.887203
2164,NSW,150.875028,-33.844153
2165,NSW,150.947496,-33.872435
2166,NSW,150.92937,-33.892738
2167,NSW,150.890441,-33.972167
2168,NSW,150.875345,-33.915939
2170,NSW,150.921448,-33.928392
2171,NSW,150.8487366,-33.93771581
2172,NSW,150.917444,-33.951109
2173,NSW,150.919554,-34.074239
2174,NSW,150.856709,-33.977497
2175,NSW,150.848192,-33.845034
2176,NSW,150.88526,-33.872014
2177,NSW,150.879379,-33.895053
2178,NSW,150.838225,-33.87478
2179,NSW,150.812031,-33.933109
2190,NSW,151.053858,-33.901925
2191,NSW,151.085513,-33.906803
2192,NSW,151.089663,-33.921018
2193,NSW,151.12086,-33.910308
2194,NSW,151.101777,-33.917601
2195,NSW,151.076939,-33.924525
2196,NSW,151.057799,-33.930089
2197,NSW,150.998155,-33.901198
2198,NSW,150.986277,-33.908788
2199,NSW,151.023171,-33.905586
2200,NSW,151.014937,-33.926559
2203,NSW,151.138999,-33.90441
2204,NSW,151.155539,-33.912288
2205,NSW,151.147956,-33.937551
2206,NSW,151.122881,-33.926056
2207,NSW,151.119517,-33.948744
2208,NSW,151.098002,-33.942632
2209,NSW,151.075304,-33.94913
2210,NSW,151.052257,-33.957725
2211,NSW,151.03221,-33.961366
2212,NSW,151.014547,-33.947286
2213,NSW,150.997836,-33.964102
2214,NSW,150.981592,-33.941443
2216,NSW,151.148204,-33.955393
2217,NSW,151.140345,-33.974354
2218,NSW,151.117453,-33.973161
2219,NSW,151.132495,-33.996587
2220,NSW,151.101764,-33.966692
2221,NSW,151.10599,-33.992159
2222,NSW,151.084774,-33.964713
2223,NSW,151.071837,-33.980264
2224,NSW,151.101891,-34.01362
2225,NSW,151.087892,-33.997441
2226,NSW,151.063808,-34.009345
2227,NSW,151.085005,-34.04984
2228,NSW,151.101564,-34.037692
2229,NSW,151.120091,-34.05494
2230,NSW,151.136596,-34.093213
2231,NSW,151.193492,-34.029927
2232,NSW,151.064329,-34.061753
2233,NSW,151.027919,-34.114626
2234,NSW,151.004412,-34.021938
2250,NSW,151.189243,-33.325373
2251,NSW,151.401999,-33.482209
2252,NSW,151.234,-33.3208
2256,NSW,151.331154,-33.482123
2257,NSW,151.374403,-33.520358
2258,NSW,151.3433,-33.333187
2259,NSW,151.377213,-33.208801
2260,NSW,151.436939,-33.42537
2261,NSW,151.519708,-33.315827
2262,NSW,151.528042,-33.209125
2263,NSW,151.556223,-33.285097
2264,NSW,151.533807,-33.106675
2265,NSW,151.412119,-33.095552
2267,NSW,151.591728,-33.086545
2278,NSW,151.590415,-32.932412
2280,NSW,151.663175,-33.019715
2281,NSW,151.668857,-33.089963
2282,NSW,151.651275,-32.987279
2283,NSW,151.57181,-33.019117
2284,NSW,151.621183,-32.953236
2285,NSW,151.651095,-32.933305
2286,NSW,151.532669,-32.923321
2287,NSW,151.65807,-32.892577
2289,NSW,151.71008,-32.948567
2290,NSW,151.707801,-32.983963
2291,NSW,151.742882,-32.951039
2292,NSW,151.740716,-32.931589
2293,NSW,151.754696,-32.917776
2294,NSW,151.767408,-32.915791
2295,NSW,151.80174,-32.879469
2296,NSW,151.746237,-32.915698
2297,NSW,151.750126,-32.909135
2298,NSW,151.722243,-32.905633
2299,NSW,151.704581,-32.909816
2300,NSW,151.778021,-32.931635
2302,NSW,151.752466,-32.931265
2303,NSW,151.743325,-32.924571
2304,NSW,151.73862,-32.880319
2305,NSW,151.706545,-32.930221
2306,NSW,151.682517,-32.993286
2307,NSW,151.688102,-32.88365
2308,NSW,151.697356,-32.892884
2309,NSW,148.890775,-30.352158
2310,NSW,151.701,-32.1932
2311,NSW,151.522527,-32.3438
2312,NSW,152.3722113,-32.16165072
2314,NSW,151.840094,-32.797453
2315,NSW,152.193698,-32.746224
2316,NSW,152.083274,-32.776919
2317,NSW,152.076399,-32.720937
2318,NSW,151.851897,-32.769906
2319,NSW,152.039551,-32.730927
2320,NSW,151.543675,-32.741737
2321,NSW,151.683702,-32.660186
2322,NSW,151.65415,-32.819819
2323,NSW,151.607554,-32.757616
2324,NSW,152.332617,-32.623108
2325,NSW,151.317476,-32.977861
2326,NSW,151.453148,-32.785207
2327,NSW,151.486212,-32.820688
2328,NSW,150.564817,-32.57693
2329,NSW,150.187517,-32.047498
2330,NSW,150.972137,-32.760486
2331,NSW,151.171479,-32.61615
2333,NSW,150.701949,-32.248568
2334,NSW,151.385451,-32.728461
2335,NSW,151.319414,-32.642118
2336,NSW,151.102917,-32.14622
2337,NSW,151.080412,-31.966754
2338,NSW,151.029159,-31.735174
2339,NSW,150.603274,-31.735738
2340,NSW,151.138322,-31.333592
2341,NSW,150.611053,-31.34664
2342,NSW,150.54907,-31.155223
2343,NSW,150.372784,-31.505932
2344,NSW,150.729574,-31.17375
2345,NSW,150.875031,-30.864342
2346,NSW,150.5206378,-30.60226666
2347,NSW,150.523163,-30.281899
2348,NSW,146.921,-31.2532
2350,NSW,151.906153,-30.493397
2351,NSW,151.639627,-30.489129
2352,NSW,151.246189,-31.088119
2353,NSW,151.095609,-30.973619
2354,NSW,151.762627,-31.145898
2355,NSW,151.154222,-30.775229
2356,NSW,148.96949,-30.619798
2357,NSW,149.781025,-31.51588428
2358,NSW,151.297519,-30.540297
2359,NSW,150.9955739,-30.3248214
2360,NSW,151.162025,-29.630052
2361,NSW,151.141751,-29.198493
2365,NSW,151.673028,-30.115913
2369,NSW,151.265077,-29.985367
2370,NSW,151.869397,-29.736171
2371,NSW,151.814675,-29.36625
2372,NSW,151.7288939,-28.96166715
2379,NSW,149.754627,-31.126265
2380,NSW,150.199154,-31.046117
2381,NSW,150.457901,-31.244175
2382,NSW,150.17806,-30.595044
2386,NSW,148.924417,-30.07897
2387,NSW,149.1822101,-29.79568858
2388,NSW,149.001543,-30.427329
2390,NSW,149.767538,-30.413331
2395,NSW,149.440922,-31.584172
2396,NSW,148.984063,-30.777381
2397,NSW,149.690988,-29.925739
2398,NSW,149.795738,-29.741061
2399,NSW,150.222662,-29.409325
2400,NSW,149.462148,-29.474921
2401,NSW,150.331619,-29.611901
2402,NSW,150.547545,-29.441821
2403,NSW,150.7837543,-29.46368911
2404,NSW,150.4165507,-29.83711766
2405,NSW,149.647249,-28.894651
2406,NSW,148.847796,-28.893724
2408,NSW,150.5788791,-29.02809007
2409,NSW,150.185847,-28.707837
2410,NSW,150.6884812,-28.70513532
2411,NSW,150.307886,-29.131193
2415,NSW,151.888327,-32.306267
2420,NSW,151.685456,-32.239696
2421,NSW,151.543017,-32.601853
2422,NSW,151.865806,-31.973082
2423,NSW,152.270901,-32.364861
2424,NSW,151.964845,-31.6402
2425,NSW,152.002451,-32.417598
2426,NSW,152.595335,-31.817926
2427,NSW,152.686583,-31.842318
2428,NSW,152.454216,-32.196739
2429,NSW,152.292395,-31.770375
2430,NSW,152.503209,-31.899311
2431,NSW,153.053789,-30.925233
2439,NSW,152.652155,-31.654722
2440,NSW,153.019648,-30.375791
2441,NSW,152.7955009,-30.81816175
2442,NSW,152.848,-31.0605
2443,NSW,152.747152,-31.725436
2444,NSW,152.87253,-31.439614
2445,NSW,152.820899,-31.583037
2446,NSW,152.466916,-31.387394
2447,NSW,152.7145508,-30.82662169
2448,NSW,152.956681,-30.604667
2449,NSW,152.737629,-30.62816
2450,NSW,152.658268,-30.097726
2452,NSW,153.08188,-30.357168
2453,NSW,152.6703126,-30.36840993
2454,NSW,152.840266,-30.459807
2455,NSW,152.96348,-30.529366
2456,NSW,153.143409,-30.073663
2460,NSW,153.271074,-29.320772
2462,NSW,153.187047,-29.829194
2463,NSW,153.104789,-29.36691
2464,NSW,153.334228,-29.484556
2465,NSW,153.243897,-29.412622
2466,NSW,153.350886,-29.407475
2469,NSW,152.5892786,-29.05366265
2470,NSW,152.749759,-28.92786
2471,NSW,153.243213,-29.018999
2472,NSW,153.303855,-29.156771
2473,NSW,153.3210837,-29.2343298
2474,NSW,152.88504,-28.499375
2475,NSW,152.388341,-28.546257
2476,NSW,152.49765,-28.36456
2477,NSW,153.427314,-28.907675
2478,NSW,153.532475,-28.865483
2479,NSW,153.514963,-28.709545
2480,NSW,153.25943,-28.706486
2481,NSW,153.592843,-28.660756
2482,NSW,153.432398,-28.547307
2483,NSW,153.494236,-28.461128
2484,NSW,153.31648,-28.38059
2485,NSW,153.526816,-28.184241
2486,NSW,153.479217,-28.215215
2487,NSW,153.548588,-28.27973
2488,NSW,153.560693,-28.34099
2489,NSW,153.541853,-28.392183
